protA,protB
O94776,Q9BTC8
O95983,P41182
O95983,Q13547
O95983,Q9BTC8
P41182,Q13547
P41182,Q9BTC8
Q13547,Q9BTC8
P49768,Q92542
P49768,Q96BI3
P49768,Q9NZ42
Q92542,Q96BI3
Q92542,Q9NZ42
Q96BI3,Q9NZ42
O60264,O95239
O60264,O95347
O60264,Q13547
O60264,Q96ST3
O60264,Q9NTJ3
O60264,Q9UBC3
O95239,O95347
O95239,Q13547
O95239,Q96ST3
O95239,Q9NTJ3
O95239,Q9UBC3
O95347,Q13547
O95347,Q96ST3
O95347,Q9UBC3
Q13547,Q96ST3
Q13547,Q9NTJ3
Q13547,Q9UBC3
Q96ST3,Q9NTJ3
Q96ST3,Q9UBC3
Q9NTJ3,Q9UBC3
P20339,Q15276
P20339,Q9UJ41
Q15276,Q9UJ41
O00422,O75446
O00422,Q09028
O00422,Q13547
O00422,Q16576
O00422,Q92769
O00422,Q96ST3
O75446,Q09028
O75446,Q13547
O75446,Q16576
O75446,Q92769
O75446,Q96ST3
Q09028,Q13547
Q09028,Q16576
Q09028,Q92769
Q09028,Q96ST3
Q13547,Q16576
Q13547,Q92769
Q16576,Q92769
Q16576,Q96ST3
Q92769,Q96ST3
P27361,P56524
P28482,P56524
O15379,Q9Y618
O60907,Q9Y618
Q13227,Q9Y618
Q9BZK7,Q9Y618
O00203,O14617
O00203,P53677
O00203,P59780
O00203,Q13367
O00203,Q92572
O00203,Q9Y2T2
O14617,P53677
O14617,P59780
O14617,Q13367
O14617,Q92572
O14617,Q9Y2T2
P53677,P59780
P53677,Q13367
P53677,Q92572
P53677,Q9Y2T2
P59780,Q13367
P59780,Q92572
P59780,Q9Y2T2
Q13367,Q92572
Q13367,Q9Y2T2
Q92572,Q9Y2T2
P42224,P52630
P42224,Q00978
P52630,Q00978
O94776,Q09028
O94776,Q14839
O94776,Q16576
O94776,Q92769
O95983,Q09028
O95983,Q14839
O95983,Q16576
O95983,Q92769
Q09028,Q14839
Q13547,Q14839
Q14839,Q16576
Q14839,Q92769
O94776,Q9UBB5
O95983,Q9UBB5
Q09028,Q9UBB5
Q13547,Q9UBB5
Q14839,Q9UBB5
Q16576,Q9UBB5
Q92769,Q9UBB5
O60216,Q14683
O60216,Q8WVM7
O60216,Q9UQE7
Q14683,Q8WVM7
Q14683,Q9UQE7
Q8WVM7,Q9UQE7
O60216,Q8N3U4
Q14683,Q8N3U4
Q8N3U4,Q9UQE7
O60244,O75448
O60244,P10827
O60244,Q15648
O60244,Q93074
O60244,Q9NVC6
O60244,Q9Y2W1
O60244,Q9Y2X0
O75448,P10827
O75448,Q15648
O75448,Q93074
O75448,Q9NVC6
O75448,Q9Y2W1
O75448,Q9Y2X0
P10827,Q15648
P10827,Q93074
P10827,Q9NVC6
P10827,Q9Y2W1
P10827,Q9Y2X0
Q15648,Q93074
Q15648,Q9NVC6
Q15648,Q9Y2W1
Q15648,Q9Y2X0
Q93074,Q9NVC6
Q93074,Q9Y2W1
Q93074,Q9Y2X0
Q9NVC6,Q9Y2W1
Q9NVC6,Q9Y2X0
Q9Y2W1,Q9Y2X0
O00189,Q9UPM8
O00189,Q9Y587
O00189,Q9Y6B7
Q9UPM8,Q9Y587
Q9UPM8,Q9Y6B7
Q9Y587,Q9Y6B7
O15315,O43502
O15315,O43543
O15315,O75771
O43502,O43543
O43502,O75771
O43543,O75771
O60934,P49959
O60934,Q92878
P49959,Q92878
P48995,Q14573
P48995,Q9NSC5
Q14573,Q9NSC5
P49815,Q92574
P62877,P63208
P62877,Q13309
P62877,Q13616
P63208,Q13309
P63208,Q13616
Q13309,Q13616
P62877,Q14999
P62877,Q8N3Y1
P63208,Q14999
P63208,Q8N3Y1
Q14999,Q8N3Y1
O14497,P51532
O14497,P60709
O14497,Q12824
O14497,Q86X55
O14497,Q8TAQ2
O14497,Q92922
O14497,Q969G3
O14497,Q96GM5
O14497,Q96KG9
P51532,P60709
P51532,Q12824
P51532,Q86X55
P51532,Q8TAQ2
P51532,Q92922
P51532,Q969G3
P51532,Q96GM5
P51532,Q96KG9
P60709,Q12824
P60709,Q86X55
P60709,Q8TAQ2
P60709,Q92922
P60709,Q969G3
P60709,Q96GM5
P60709,Q96KG9
Q12824,Q86X55
Q12824,Q8TAQ2
Q12824,Q92922
