protA,protB
O00483,P56181
O00483,P56556
O00483,Q16718
O00483,Q16795
O00483,Q86Y39
O00483,Q9NX14
O00483,Q9P0J0
O00483,Q9UI09
O00483,Q9Y6M9
O14561,O15239
O14561,O43181
O14561,O43674
O14561,O43676
O14561,O43677
O14561,O43678
O14561,O43920
O14561,O75251
O14561,O75306
O14561,O75380
O14561,O75438
O14561,O75489
O14561,O95139
O14561,O95167
O14561,O95168
O14561,O95169
O14561,O95178
O14561,O95182
O14561,O95298
O14561,O95299
O14561,O96000
O14561,P03886
O14561,P03891
O14561,P03897
O14561,P03901
O14561,P03915
O14561,P03923
O14561,P17568
O14561,P19404
O14561,P28331
O14561,P49821
O14561,P51970
O14561,P56181
O14561,P56556
O14561,Q16718
O14561,Q16795
O14561,Q86Y39
O14561,Q9NX14
O14561,Q9P0J0
O14561,Q9UI09
O14561,Q9Y6M9
O15239,O43181
O15239,O43674
O15239,O43676
O15239,O43677
O15239,O43678
O15239,O43920
O15239,O75251
O15239,O75306
O15239,O75380
O15239,O75438
O15239,O75489
O15239,O95139
O15239,O95167
O15239,O95168
O15239,O95169
O15239,O95178
O15239,O95182
O15239,O95298
O15239,O95299
O15239,O96000
O15239,P03886
O15239,P03891
O15239,P03897
O15239,P03901
O15239,P03915
O15239,P03923
O15239,P17568
O15239,P19404
O15239,P28331
O15239,P49821
O15239,P51970
O15239,P56181
O15239,P56556
O15239,Q16718
O15239,Q16795
O15239,Q86Y39
O15239,Q9NX14
O15239,Q9P0J0
O15239,Q9UI09
O15239,Q9Y6M9
O43181,O43674
O43181,O43676
O43181,O43677
O43181,O43678
O43181,O43920
O43181,O75251
O43181,O75306
O43181,O75380
O43181,O75438
O43181,O75489
O43181,O95139
O43181,O95167
O43181,O95168
O43181,O95169
O43181,O95178
O43181,O95182
O43181,O95298
O43181,O95299
O43181,O96000
O43181,P03886
O43181,P03891
O43181,P03897
O43181,P03901
O43181,P03915
O43181,P03923
O43181,P17568
O43181,P19404
O43181,P28331
O43181,P49821
O43181,P51970
O43181,P56181
O43181,P56556
O43181,Q16718
O43181,Q16795
O43181,Q86Y39
O43181,Q9NX14
O43181,Q9P0J0
O43181,Q9UI09
O43181,Q9Y6M9
O43674,O43676
O43674,O43677
O43674,O43678
O43674,O43920
O43674,O75251
O43674,O75306
O43674,O75380
O43674,O75438
O43674,O75489
O43674,O95139
O43674,O95167
O43674,O95168
O43674,O95169
O43674,O95178
O43674,O95182
O43674,O95298
O43674,O95299
O43674,O96000
O43674,P03886
O43674,P03891
O43674,P03897
O43674,P03901
O43674,P03915
O43674,P03923
O43674,P17568
O43674,P19404
O43674,P28331
O43674,P49821
O43674,P51970
O43674,P56181
O43674,P56556
O43674,Q16718
O43674,Q16795
O43674,Q86Y39
O43674,Q9NX14
O43674,Q9P0J0
O43674,Q9UI09
O43674,Q9Y6M9
O43676,O43677
O43676,O43678
O43676,O43920
O43676,O75251
O43676,O75306
O43676,O75380
O43676,O75438
O43676,O75489
O43676,O95139
O43676,O95167
O43676,O95168
O43676,O95169
O43676,O95178
O43676,O95182
O43676,O95298
O43676,O95299
O43676,O96000
O43676,P03886
O43676,P03891
O43676,P03897
O43676,P03901
O43676,P03915
O43676,P03923
O43676,P17568
O43676,P19404
O43676,P28331
O43676,P49821
O43676,P51970
O43676,P56181
O43676,P56556
O43676,Q16718
O43676,Q16795
O43676,Q86Y39
O43676,Q9NX14
O43676,Q9P0J0
O43676,Q9UI09
O43676,Q9Y6M9
O43677,O43678
O43677,O43920
O43677,O75251
O43677,O75306
O43677,O75380
O43677,O75438
O43677,O75489
O43677,O95139
O43677,O95167
O43677,O95168
O43677,O95169
O43677,O95178
O43677,O95182
O43677,O95298
O43677,O95299
O43677,O96000
O43677,P03886
O43677,P03891
O43677,P03897
O43677,P03901
O43677,P03915
O43677,P03923
O43677,P17568
O43677,P19404
O43677,P28331
O43677,P49821
O43677,P51970
O43677,P56181
O43677,P56556
O43677,Q16718
O43677,Q16795
O43677,Q86Y39
O43677,Q9NX14
O43677,Q9P0J0
O43677,Q9UI09
O43677,Q9Y6M9
O43678,O43920
O43678,O75251
O43678,O75306
O43678,O75380
O43678,O75438
O43678,O75489
O43678,O95139
O43678,O95167
O43678,O95168
O43678,O95169
O43678,O95178
O43678,O95182
O43678,O95298
O43678,O95299
O43678,O96000
O43678,P03886
O43678,P03891
O43678,P03897
O43678,P03901
O43678,P03915
O43678,P03923
O43678,P17568
O43678,P19404
O43678,P28331
O43678,P49821
O43678,P51970
O43678,P56181
O43678,P56556
O43678,Q16718
O43678,Q16795
O43678,Q86Y39
O43678,Q9NX14
O43678,Q9P0J0
O43678,Q9UI09
O43678,Q9Y6M9
O43920,O75251
O43920,O75306
O43920,O75380
O43920,O75438
O43920,O75489
O43920,O95139
O43920,O95167
O43920,O95168
O43920,O95169
O43920,O95178
O43920,O95182
O43920,O95298
O43920,O95299
O43920,O96000
O43920,P03886
O43920,P03891
O43920,P03897
O43920,P03901
O43920,P03915
O43920,P03923
O43920,P17568
O43920,P19404
O43920,P28331
O43920,P49821
O43920,P51970
O43920,P56181
O43920,P56556
O43920,Q16718
O43920,Q16795
O43920,Q86Y39
O43920,Q9NX14
O43920,Q9P0J0
O43920,Q9UI09
O43920,Q9Y6M9
O75251,O75306
O75251,O75380
O75251,O75438
O75251,O75489
O75251,O95139
O75251,O95167
O75251,O95168
O75251,O95169
O75251,O95178
O75251,O95182
O75251,O95298
O75251,O95299
O75251,O96000
O75251,P03886
O75251,P03891
O75251,P03897
O75251,P03901
O75251,P03915
O75251,P03923
O75251,P17568
O75251,P19404
O75251,P28331
O75251,P49821
O75251,P51970
O75251,P56181
O75251,P56556
O75251,Q16718
O75251,Q16795
O75251,Q86Y39
O75251,Q9NX14
O75251,Q9P0J0
O75251,Q9UI09
O75251,Q9Y6M9
O75306,O75380
O75306,O75438
O75306,O75489
O75306,O95139
O75306,O95167
O75306,O95168
O75306,O95169
O75306,O95178
O75306,O95182
O75306,O95298
O75306,O95299
O75306,O96000
O75306,P03886
O75306,P03891
O75306,P03897
O75306,P03901
O75306,P03915
O75306,P03923
O75306,P17568
O75306,P19404
O75306,P28331
O75306,P49821
O75306,P51970
O75306,P56181
O75306,P56556
O75306,Q16718
O75306,Q16795
O75306,Q86Y39
O75306,Q9NX14
O75306,Q9P0J0
O75306,Q9UI09
O75306,Q9Y6M9
O75380,O75438
O75380,O75489
O75380,O95139
O75380,O95167
O75380,O95168
O75380,O95169
O75380,O95178
O75380,O95182
O75380,O95298
O75380,O95299
O75380,O96000
O75380,P03886
O75380,P03891
O75380,P03897
O75380,P03901
O75380,P03915
O75380,P03923
O75380,P17568
O75380,P19404
O75380,P28331
O75380,P49821
O75380,P51970
O75380,P56181
O75380,P56556
O75380,Q16718
O75380,Q16795
O75380,Q86Y39
O75380,Q9NX14
O75380,Q9P0J0
O75380,Q9UI09
O75380,Q9Y6M9
O75438,O75489
O75438,O95139
O75438,O95167
O75438,O95168
O75438,O95169
O75438,O95178
O75438,O95182
O75438,O95298
O75438,O95299
O75438,O96000
O75438,P03886
O75438,P03891
O75438,P03897
O75438,P03901
O75438,P03915
O75438,P03923
O75438,P17568
O75438,P19404
O75438,P28331
O75438,P49821
O75438,P51970
O75438,P56181
O75438,P56556
O75438,Q16718
O75438,Q16795
O75438,Q86Y39
O75438,Q9NX14
O75438,Q9P0J0
O75438,Q9UI09
O75438,Q9Y6M9
O75489,O95139
O75489,O95167
O75489,O95168
O75489,O95169
O75489,O95178
O75489,O95182
O75489,O95298
O75489,O95299
O75489,O96000
O75489,P03886
O75489,P03891
O75489,P03897
O75489,P03901
O75489,P03915
O75489,P03923
O75489,P17568
O75489,P19404
O75489,P28331
O75489,P49821
O75489,P51970
O75489,P56181
O75489,P56556
O75489,Q16718
O75489,Q16795
O75489,Q86Y39
O75489,Q9NX14
O75489,Q9P0J0
O75489,Q9UI09
O75489,Q9Y6M9
O95139,O95167
O95139,O95168
O95139,O95169
O95139,O95178
O95139,O95182
O95139,O95298
O95139,O95299
O95139,O96000
O95139,P03886
O95139,P03891
O95139,P03897
O95139,P03901
O95139,P03915
O95139,P03923
O95139,P17568
O95139,P19404
O95139,P28331
O95139,P49821
O95139,P51970
O95139,P56181
O95139,P56556
O95139,Q16718
O95139,Q16795
O95139,Q86Y39
O95139,Q9NX14
O95139,Q9P0J0
O95139,Q9UI09
O95139,Q9Y6M9
O95167,O95168
O95167,O95169
O95167,O95178
O95167,O95182
O95167,O95298
O95167,O95299
O95167,O96000
O95167,P03886
O95167,P03891
O95167,P03897
O95167,P03901
O95167,P03915
O95167,P03923
O95167,P17568
O95167,P19404
O95167,P28331
O95167,P49821
O95167,P51970
O95167,P56181
O95167,P56556
O95167,Q16718
O95167,Q16795
O95167,Q86Y39
O95167,Q9NX14
O95167,Q9P0J0
O95167,Q9UI09
O95167,Q9Y6M9
O95168,O95169
O95168,O95178
O95168,O95182
O95168,O95298
O95168,O95299
O95168,O96000
O95168,P03886
O95168,P03891
O95168,P03897
O95168,P03901
O95168,P03915
O95168,P03923
O95168,P17568
O95168,P19404
O95168,P28331
O95168,P49821
O95168,P51970
O95168,P56181
O95168,P56556
O95168,Q16718
O95168,Q16795
O95168,Q86Y39
O95168,Q9NX14
O95168,Q9P0J0
O95168,Q9UI09
O95168,Q9Y6M9
O95169,O95178
O95169,O95182
O95169,O95298
O95169,O95299
O95169,O96000
O95169,P03886
O95169,P03891
O95169,P03897
O95169,P03901
O95169,P03915
O95169,P03923
O95169,P17568
O95169,P19404
O95169,P28331
O95169,P49821
O95169,P51970
O95169,P56181
O95169,P56556
O95169,Q16718
O95169,Q16795
O95169,Q86Y39
O95169,Q9NX14
O95169,Q9P0J0
O95169,Q9UI09
O95169,Q9Y6M9
O95178,O95182
O95178,O95298
O95178,O95299
O95178,O96000
O95178,P03886
O95178,P03891
O95178,P03897
O95178,P03901
O95178,P03915
O95178,P03923
O95178,P17568
O95178,P19404
O95178,P28331
O95178,P49821
O95178,P51970
O95178,P56181
O95178,P56556
O95178,Q16718
O95178,Q16795
O95178,Q86Y39
O95178,Q9NX14
O95178,Q9P0J0
O95178,Q9UI09
O95178,Q9Y6M9
O95182,O95298
O95182,O95299
O95182,O96000
O95182,P03886
O95182,P03891
O95182,P03897
O95182,P03901
O95182,P03915
O95182,P03923
O95182,P17568
O95182,P19404
O95182,P28331
O95182,P49821
O95182,P51970
O95182,P56181
O95182,P56556
O95182,Q16718
O95182,Q16795
O95182,Q86Y39
O95182,Q9NX14
O95182,Q9P0J0
O95182,Q9UI09
O95182,Q9Y6M9
O95298,O95299
O95298,O96000
O95298,P03886
O95298,P03891
O95298,P03897
O95298,P03901
O95298,P03915
O95298,P03923
O95298,P17568
O95298,P19404
O95298,P28331
O95298,P49821
O95298,P51970
O95298,P56181
O95298,P56556
O95298,Q16718
O95298,Q16795
O95298,Q86Y39
O95298,Q9NX14
O95298,Q9P0J0
O95298,Q9UI09
O95298,Q9Y6M9
O95299,O96000
O95299,P03886
O95299,P03891
O95299,P03897
O95299,P03901
O95299,P03915
O95299,P03923
O95299,P17568
O95299,P19404
O95299,P28331
O95299,P49821
O95299,P51970
O95299,P56181
O95299,P56556
O95299,Q16718
O95299,Q16795
O95299,Q86Y39
O95299,Q9NX14
O95299,Q9P0J0
O95299,Q9UI09
O95299,Q9Y6M9
O96000,P03886
O96000,P03891
O96000,P03897
O96000,P03901
O96000,P03915
O96000,P03923
O96000,P17568
O96000,P19404
O96000,P28331
O96000,P49821
O96000,P51970
O96000,P56181
O96000,P56556
O96000,Q16718
O96000,Q16795
O96000,Q86Y39
O96000,Q9NX14
O96000,Q9P0J0
O96000,Q9UI09
O96000,Q9Y6M9
P03886,P03891
P03886,P03897
P03886,P03901
P03886,P03915
P03886,P03923
P03886,P17568
P03886,P19404
P03886,P28331
P03886,P49821
P03886,P51970
P03886,P56181
P03886,P56556
P03886,Q16718
P03886,Q16795
P03886,Q86Y39
P03886,Q9NX14
P03886,Q9P0J0
P03886,Q9UI09
P03886,Q9Y6M9
P03891,P03897
P03891,P03901
P03891,P03915
P03891,P03923
P03891,P17568
P03891,P19404
P03891,P28331
P03891,P49821
P03891,P51970
P03891,P56181
P03891,P56556
P03891,Q16718
P03891,Q16795
P03891,Q86Y39
P03891,Q9NX14
P03891,Q9P0J0
P03891,Q9UI09
P03891,Q9Y6M9
P03897,P03901
P03897,P03915
P03897,P03923
P03897,P17568
P03897,P19404
P03897,P28331
P03897,P49821
P03897,P51970
P03897,P56181
P03897,P56556
P03897,Q16718
P03897,Q16795
P03897,Q86Y39
P03897,Q9NX14
P03897,Q9P0J0
P03897,Q9UI09
P03897,Q9Y6M9
P03901,P03915
P03901,P03923
P03901,P17568
P03901,P19404
P03901,P28331
P03901,P49821
P03901,P51970
P03901,P56181
P03901,P56556
P03901,Q16718
P03901,Q16795
P03901,Q86Y39
P03901,Q9NX14
P03901,Q9P0J0
P03901,Q9UI09
P03901,Q9Y6M9
P03915,P03923
P03915,P17568
P03915,P19404
P03915,P28331
P03915,P49821
P03915,P51970
P03915,P56181
P03915,P56556
P03915,Q16718
P03915,Q16795
P03915,Q86Y39
P03915,Q9NX14
P03915,Q9P0J0
P03915,Q9UI09
P03915,Q9Y6M9
P03923,P17568
P03923,P19404
P03923,P28331
P03923,P49821
P03923,P51970
P03923,P56181
P03923,P56556
P03923,Q16718
P03923,Q16795
P03923,Q86Y39
P03923,Q9NX14
P03923,Q9P0J0
P03923,Q9UI09
P03923,Q9Y6M9
P17568,P19404
P17568,P28331
P17568,P49821
P17568,P51970
P17568,P56181
P17568,P56556
P17568,Q16718
P17568,Q16795
P17568,Q86Y39
P17568,Q9NX14
P17568,Q9P0J0
P17568,Q9UI09
P17568,Q9Y6M9
P19404,P28331
P19404,P49821
P19404,P51970
P19404,P56181
P19404,P56556
P19404,Q16718
P19404,Q16795
P19404,Q86Y39
P19404,Q9NX14
P19404,Q9P0J0
P19404,Q9UI09
P19404,Q9Y6M9
P28331,P49821
P28331,P51970
P28331,P56181
P28331,P56556
P28331,Q16718
P28331,Q16795
P28331,Q86Y39
P28331,Q9NX14
P28331,Q9P0J0
P28331,Q9UI09
P28331,Q9Y6M9
P49821,P51970
P49821,P56181
P49821,P56556
P49821,Q16718
P49821,Q16795
P49821,Q86Y39
P49821,Q9NX14
P49821,Q9P0J0
P49821,Q9UI09
P49821,Q9Y6M9
P51970,P56181
P51970,P56556
P51970,Q16718
P51970,Q16795
P51970,Q86Y39
P51970,Q9NX14
P51970,Q9P0J0
P51970,Q9UI09
P51970,Q9Y6M9
P56181,P56556
P56181,Q16718
P56181,Q16795
P56181,Q86Y39
P56181,Q9NX14
P56181,Q9P0J0
P56181,Q9UI09
P56181,Q9Y6M9
P56556,Q16718
P56556,Q16795
P56556,Q86Y39
P56556,Q9NX14
P56556,Q9P0J0
P56556,Q9UI09
P56556,Q9Y6M9
Q16718,Q16795
Q16718,Q86Y39
Q16718,Q9NX14
Q16718,Q9P0J0
Q16718,Q9UI09
Q16718,Q9Y6M9
Q16795,Q86Y39
Q16795,Q9NX14
Q16795,Q9P0J0
Q16795,Q9UI09
Q16795,Q9Y6M9
Q86Y39,Q9NX14
Q86Y39,Q9P0J0
Q86Y39,Q9UI09
Q86Y39,Q9Y6M9
Q9NX14,Q9P0J0
Q9NX14,Q9UI09
Q9NX14,Q9Y6M9
Q9P0J0,Q9UI09
Q9P0J0,Q9Y6M9
Q9UI09,Q9Y6M9
P62136,Q96QC0
O14818,P17980
O14818,P20618
O14818,P25786
O14818,P25787
O14818,P25788
O14818,P25789
O14818,P28066
O14818,P28070
O14818,P28072
O14818,P28074
O14818,P35998
O14818,P43686
O14818,P49720
O14818,P49721
O14818,P55036
O14818,P60900
O14818,P62191
O14818,P62195
O14818,P62333
O14818,Q99436
O14818,Q9UNM6
P17980,P20618
P17980,P25786
P17980,P25787
P17980,P25788
P17980,P25789
P17980,P28066
P17980,P28070
P17980,P28072
P17980,P28074
P17980,P49720
P17980,P49721
P17980,P60900
P17980,Q99436
P20618,P25786
P20618,P25787
P20618,P25788
P20618,P25789
P20618,P28066
P20618,P28070
P20618,P28072
P20618,P28074
P20618,P35998
P20618,P43686
P20618,P49720
P20618,P49721
P20618,P55036
P20618,P60900
P20618,P62191
P20618,P62195
P20618,P62333
P20618,Q99436
P20618,Q9UNM6
P25786,P25787
P25786,P25788
P25786,P25789
P25786,P28066
P25786,P28070
P25786,P28072
P25786,P28074
P25786,P35998
P25786,P43686
P25786,P49720
P25786,P49721
P25786,P55036
P25786,P60900
P25786,P62191
P25786,P62195
P25786,P62333
P25786,Q99436
P25786,Q9UNM6
P25787,P25788
P25787,P25789
P25787,P28066
P25787,P28070
P25787,P28072
P25787,P28074
P25787,P35998
P25787,P43686
P25787,P49720
P25787,P49721
P25787,P55036
P25787,P60900
P25787,P62191
P25787,P62195
P25787,P62333
P25787,Q99436
P25787,Q9UNM6
P25788,P25789
P25788,P28066
P25788,P28070
P25788,P28072
P25788,P28074
P25788,P35998
P25788,P43686
P25788,P49720
P25788,P49721
P25788,P55036
P25788,P60900
P25788,P62191
P25788,P62195
P25788,P62333
P25788,Q99436
P25788,Q9UNM6
P25789,P28066
P25789,P28070
P25789,P28072
P25789,P28074
P25789,P35998
P25789,P43686
P25789,P49720
P25789,P49721
P25789,P55036
P25789,P60900
P25789,P62191
P25789,P62195
P25789,P62333
P25789,Q99436
P25789,Q9UNM6
P28066,P28070
P28066,P28072
P28066,P28074
P28066,P35998
P28066,P43686
P28066,P49720
P28066,P49721
P28066,P55036
P28066,P60900
P28066,P62191
P28066,P62195
P28066,P62333
P28066,Q99436
P28066,Q9UNM6
P28070,P28072
P28070,P28074
P28070,P35998
P28070,P43686
P28070,P49720
P28070,P49721
P28070,P55036
P28070,P60900
P28070,P62191
P28070,P62195
P28070,P62333
P28070,Q99436
P28070,Q9UNM6
P28072,P28074
P28072,P35998
P28072,P43686
P28072,P49720
P28072,P49721
P28072,P55036
P28072,P60900
P28072,P62191
P28072,P62195
P28072,P62333
P28072,Q99436
P28072,Q9UNM6
P28074,P35998
P28074,P43686
P28074,P49720
P28074,P49721
P28074,P55036
P28074,P60900
P28074,P62191
P28074,P62195
P28074,P62333
P28074,Q99436
P28074,Q9UNM6
P35998,P49720
P35998,P49721
P35998,P60900
P35998,Q99436
P43686,P49720
P43686,P49721
P43686,P60900
P43686,Q99436
P49720,P49721
P49720,P55036
P49720,P60900
P49720,P62191
P49720,P62195
P49720,P62333
P49720,Q99436
P49720,Q9UNM6
P49721,P55036
P49721,P60900
P49721,P62191
P49721,P62195
P49721,P62333
P49721,Q99436
P49721,Q9UNM6
P55036,P60900
P55036,Q99436
P60900,P62191
P60900,P62195
P60900,P62333
P60900,Q99436
P60900,Q9UNM6
P62191,Q99436
P62195,Q99436
P62333,Q99436
Q99436,Q9UNM6
Q7L576,Q8IZP0
Q7L576,Q8WUW1
Q7L576,Q9Y2A7
Q7L576,Q9Y6W5
Q8IZP0,Q8WUW1
Q8IZP0,Q9Y2A7
Q8IZP0,Q9Y6W5
Q8WUW1,Q9Y2A7
Q8WUW1,Q9Y6W5
Q9Y2A7,Q9Y6W5
O14497,O94805
O14497,O96019
O14497,P51531
O14497,P63261
O14497,Q8NFD5
O94805,O96019
O94805,P51531
O94805,P51532
O94805,P60709
O94805,P63261
O94805,Q12824
O94805,Q8NFD5
O94805,Q8TAQ2
O94805,Q92922
O94805,Q969G3
O94805,Q96GM5
O96019,P51531
O96019,P63261
O96019,Q8NFD5
P51531,P51532
P51531,P60709
P51531,P63261
P51531,Q12824
P51531,Q8NFD5
P51531,Q8TAQ2
P51531,Q92922
P51531,Q969G3
P51531,Q96GM5
P51532,P63261
P51532,Q8NFD5
P60709,P63261
P60709,Q8NFD5
P63261,Q12824
P63261,Q8NFD5
P63261,Q8TAQ2
P63261,Q92922
P63261,Q969G3
P63261,Q96GM5
Q12824,Q8NFD5
Q8NFD5,Q8TAQ2
Q8NFD5,Q92922
Q8NFD5,Q969G3
Q8NFD5,Q96GM5
O43684,O60566
O43684,Q12834
O43684,Q13257
O60566,Q12834
O60566,Q13257
Q12834,Q13257
O14818,Q06323
O14818,Q9UL46
P20618,Q06323
P20618,Q9UL46
P25786,Q06323
P25786,Q9UL46
P25787,Q06323
P25787,Q9UL46
P25788,Q06323
P25788,Q9UL46
P25789,Q06323
P25789,Q9UL46
P28066,Q06323
P28066,Q9UL46
P28070,Q06323
P28070,Q9UL46
P28072,Q06323
P28072,Q9UL46
P28074,Q06323
P28074,Q9UL46
P49720,Q06323
P49720,Q9UL46
P49721,Q06323
P49721,Q9UL46
P60900,Q06323
P60900,Q9UL46
Q06323,Q99436
Q99436,Q9UL46
O00231,O14818
O00231,P20618
O00231,P25786
O00231,P25787
O00231,P25788
O00231,P25789
O00231,P28066
O00231,P28070
O00231,P28072
O00231,P28074
O00231,P49720
O00231,P49721
O00231,P60900
O00231,Q06323
O00231,Q99436
O00231,Q9UL46
O00232,O14818
O00232,P20618
O00232,P25786
O00232,P25787
O00232,P25788
O00232,P25789
O00232,P28066
O00232,P28070
O00232,P28072
O00232,P28074
O00232,P49720
O00232,P49721
O00232,P60900
O00232,Q06323
O00232,Q99436
O00232,Q9UL46
O00233,O14818
O00233,P20618
O00233,P25786
O00233,P25787
O00233,P25788
O00233,P25789
O00233,P28066
O00233,P28070
O00233,P28072
O00233,P28074
O00233,P49720
O00233,P49721
O00233,P60900
O00233,Q06323
O00233,Q99436
O00233,Q9UL46
O00487,O14818
O00487,P20618
O00487,P25786
O00487,P25787
O00487,P25788
O00487,P25789
O00487,P28066
O00487,P28070
O00487,P28072
O00487,P28074
O00487,P49720
O00487,P49721
O00487,P60900
O00487,Q06323
O00487,Q99436
O00487,Q9UL46
O14818,O43242
O14818,O75832
O14818,P48556
O14818,P51665
O14818,Q13200
O14818,Q15008
O14818,Q16401
O14818,Q99460
O43242,P20618
O43242,P25786
O43242,P25787
O43242,P25788
O43242,P25789
O43242,P28066
O43242,P28070
O43242,P28072
O43242,P28074
O43242,P49720
O43242,P49721
O43242,P60900
O43242,Q06323
O43242,Q99436
O43242,Q9UL46
O75832,P20618
O75832,P25786
O75832,P25787
O75832,P25788
O75832,P25789
O75832,P28066
O75832,P28070
O75832,P28072
O75832,P28074
O75832,P49720
O75832,P49721
O75832,P60900
O75832,Q06323
O75832,Q99436
O75832,Q9UL46
P17980,Q06323
P17980,Q9UL46
P20618,P48556
P20618,P51665
P20618,Q13200
P20618,Q15008
P20618,Q16401
P20618,Q99460
P25786,P48556
P25786,P51665
P25786,Q13200
P25786,Q15008
P25786,Q16401
P25786,Q99460
P25787,P48556
P25787,P51665
P25787,Q13200
P25787,Q15008
P25787,Q16401
P25787,Q99460
P25788,P48556
P25788,P51665
P25788,Q13200
P25788,Q15008
P25788,Q16401
P25788,Q99460
P25789,P48556
P25789,P51665
P25789,Q13200
P25789,Q15008
P25789,Q16401
P25789,Q99460
P28066,P48556
P28066,P51665
P28066,Q13200
P28066,Q15008
P28066,Q16401
P28066,Q99460
P28070,P48556
P28070,P51665
P28070,Q13200
P28070,Q15008
P28070,Q16401
P28070,Q99460
P28072,P48556
P28072,P51665
P28072,Q13200
P28072,Q15008
P28072,Q16401
P28072,Q99460
P28074,P48556
P28074,P51665
P28074,Q13200
P28074,Q15008
P28074,Q16401
P28074,Q99460
P35998,Q06323
P35998,Q9UL46
P43686,Q06323
P43686,Q9UL46
P48556,P49720
P48556,P49721
P48556,P60900
P48556,Q06323
P48556,Q99436
P48556,Q9UL46
P49720,P51665
P49720,Q13200
P49720,Q15008
P49720,Q16401
P49720,Q99460
P49721,P51665
P49721,Q13200
P49721,Q15008
P49721,Q16401
P49721,Q99460
P51665,P60900
P51665,Q06323
P51665,Q99436
P51665,Q9UL46
P55036,Q06323
P55036,Q9UL46
P60900,Q13200
P60900,Q15008
P60900,Q16401
P60900,Q99460
P62191,Q06323
P62191,Q9UL46
P62195,Q06323
P62195,Q9UL46
P62333,Q06323
P62333,Q9UL46
Q06323,Q13200
Q06323,Q15008
Q06323,Q16401
Q06323,Q99460
Q06323,Q9UNM6
Q13200,Q99436
Q13200,Q9UL46
Q15008,Q99436
Q15008,Q9UL46
Q16401,Q99436
Q16401,Q9UL46
Q99436,Q99460
Q99460,Q9UL46
Q9UL46,Q9UNM6
O14818,P61289
P20618,P61289
P25786,P61289
P25787,P61289
P25788,P61289
P25789,P61289
P28066,P61289
P28070,P61289
P28072,P61289
P28074,P61289
P49720,P61289
P49721,P61289
P60900,P61289
P61289,Q99436
P38398,Q99728
O60934,P38398
P38398,P49959
P38398,Q92878
P40337,P62877
P40337,Q13617
P40337,Q15369
P40337,Q15370
P62877,Q13617
P62877,Q15369
P62877,Q15370
Q13617,Q15369
Q13617,Q15370
Q15369,Q15370
P49917,Q13426
Q15369,Q93034
Q15369,Q96Q27
Q15369,Q9UBF6
Q15370,Q93034
Q15370,Q96Q27
Q15370,Q9UBF6
Q93034,Q96Q27
Q93034,Q9UBF6
Q96Q27,Q9UBF6
Q15369,Q9Y576
Q15370,Q9Y576
Q93034,Q9Y576
Q9UBF6,Q9Y576
Q15369,Q9NWX5
Q15370,Q9NWX5
Q93034,Q9NWX5
Q9NWX5,Q9UBF6
Q15369,Q9H672
Q15370,Q9H672
Q93034,Q9H672
Q9H672,Q9UBF6
Q15369,Q8WXK4
Q15370,Q8WXK4
Q8WXK4,Q93034
Q8WXK4,Q9UBF6
P18887,P49916
P18887,P49917
P62877,Q93034
P62877,Q9Y6I7
Q15369,Q9Y6I7
Q15370,Q9Y6I7
Q93034,Q9Y6I7
O43513,O60244
O43513,O75448
O43513,O95402
O43513,Q15648
O43513,Q6P2C8
O43513,Q9NVC6
O43513,Q9ULK4
O60244,O95402
O60244,Q6P2C8
O60244,Q9ULK4
O75448,O95402
O75448,Q6P2C8
O75448,Q9ULK4
O95402,Q15648
O95402,Q6P2C8
O95402,Q9NVC6
O95402,Q9ULK4
Q15648,Q6P2C8
Q15648,Q9ULK4
Q6P2C8,Q9NVC6
Q6P2C8,Q9ULK4
Q9NVC6,Q9ULK4
P62877,Q86VP6
Q13616,Q86VP6
P06748,Q7Z6Z7
P06748,Q8N726
Q7Z6Z7,Q8N726
Q13617,Q86VP6
P62877,Q13618
Q13618,Q86VP6
P62877,Q13619
Q13619,Q86VP6
P62877,Q13620
Q13620,Q86VP6
P63208,Q9Y297
Q13616,Q9Y297
O60244,O75586
O60244,P24863
O60244,P49336
O60244,Q13503
O60244,Q9Y3C7
O75448,O75586
O75448,P24863
O75448,P49336
O75448,Q13503
O75448,Q9Y3C7
O75586,P24863
O75586,P49336
O75586,Q13503
O75586,Q15648
O75586,Q9Y3C7
P24863,P49336
P24863,Q13503
P24863,Q15648
P24863,Q9Y3C7
P49336,Q13503
P49336,Q15648
P49336,Q9Y3C7
Q13503,Q15648
Q13503,Q9Y3C7
Q15648,Q9Y3C7
O60244,Q9BTT4
O75586,Q9BTT4
O75586,Q9ULK4
P24863,Q9BTT4
P24863,Q9ULK4
P49336,Q9BTT4
P49336,Q9ULK4
Q13503,Q9BTT4
Q13503,Q9ULK4
Q9BTT4,Q9ULK4
A0JLT2,O43513
A0JLT2,O60244
A0JLT2,O75448
A0JLT2,O75586
A0JLT2,O95402
A0JLT2,P24863
A0JLT2,P49336
A0JLT2,Q13503
A0JLT2,Q15528
A0JLT2,Q15648
A0JLT2,Q6P2C8
A0JLT2,Q71F56
A0JLT2,Q71SY5
A0JLT2,Q93074
A0JLT2,Q96G25
A0JLT2,Q96HR3
A0JLT2,Q96RN5
A0JLT2,Q9BTT4
A0JLT2,Q9BUE0
A0JLT2,Q9BWU1
A0JLT2,Q9H204
A0JLT2,Q9H944
